,school_GP,school_MS,sex_F,sex_M,age,address_R,address_U,famsize_GT3,famsize_LE3,Pstatus_A,Pstatus_T,Medu,Fedu,Mjob_at_home,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_at_home,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_course,reason_home,reason_other,reason_reputation,guardian_father,guardian_mother,guardian_other,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,passed,predicted
224,1,0,1,0,16,0,1,1,0,0,1,4,4,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,3,0,0,1,0,1,0,1,1,0,5,3,2,1,1,5,0,yes,0
237,1,0,1,0,16,0,1,1,0,0,1,2,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,4,5,2,1,1,5,20,yes,0
338,1,0,1,0,18,0,1,0,1,0,1,3,3,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,4,0,0,1,0,0,1,1,1,0,5,3,3,1,1,1,7,yes,0
311,1,0,1,0,19,0,1,1,0,0,1,2,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,3,2,0,0,1,0,0,1,0,1,1,3,4,1,1,1,2,20,yes,0
340,1,0,1,0,19,0,1,1,0,0,1,2,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,3,1,0,0,1,1,1,1,1,1,4,3,4,1,3,3,4,yes,0
127,1,0,1,0,19,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,2,3,0,1,0,0,0,0,0,0,3,4,2,1,1,5,2,no,0
74,1,0,1,0,16,0,1,1,0,0,1,3,3,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,2,0,1,1,1,1,1,1,1,0,4,3,3,2,4,5,54,yes,0
318,1,0,1,0,17,1,0,1,0,0,1,3,4,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,3,0,0,1,1,1,0,1,1,0,4,3,4,2,5,5,0,yes,0
29,1,0,0,1,16,0,1,1,0,0,1,4,4,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,2,0,0,1,1,1,1,1,1,1,4,4,5,5,5,5,16,yes,0
83,1,0,0,1,15,0,1,0,1,0,1,2,2,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,2,2,0,0,0,1,1,1,1,1,0,5,3,3,1,3,4,4,yes,0
326,1,0,0,1,17,0,1,1,0,0,1,3,3,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,4,3,5,3,5,5,3,yes,0
107,1,0,0,1,16,0,1,1,0,0,1,3,3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,1,5,2,yes,0
355,0,1,1,0,18,0,1,1,0,0,1,3,3,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,2,0,0,1,0,0,1,1,0,1,5,3,4,1,1,5,0,no,0
310,1,0,1,0,19,0,1,0,1,0,1,1,2,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,2,1,0,0,0,1,0,1,0,1,4,2,4,2,2,3,0,no,0
133,1,0,1,0,16,0,1,1,0,1,0,3,4,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,3,2,1,1,4,5,16,yes,0
244,1,0,1,0,18,0,1,1,0,0,1,2,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2,3,0,0,1,1,0,0,1,1,1,4,4,4,1,1,3,0,no,0
184,1,0,1,0,16,0,1,1,0,0,1,3,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,2,0,0,1,1,0,1,1,1,0,1,2,2,1,2,1,14,yes,0
286,1,0,1,0,18,0,1,1,0,0,1,2,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,3,0,0,1,1,0,1,1,1,0,4,3,3,1,2,2,5,yes,0
44,1,0,1,0,16,0,1,0,1,0,1,2,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2,2,1,1,0,0,1,1,1,1,0,4,3,3,2,2,5,14,no,0
362,0,1,1,0,18,0,1,1,0,0,1,3,3,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,2,2,0,0,1,0,0,1,1,1,1,4,3,2,1,3,3,0,yes,0
65,1,0,1,0,16,0,1,0,1,0,1,4,3,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,3,2,0,0,1,0,1,1,1,1,0,5,4,3,1,2,1,2,yes,0
292,1,0,1,0,18,0,1,0,1,0,1,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,2,1,0,0,0,0,1,1,1,1,5,4,3,1,1,5,12,yes,0
85,1,0,1,0,15,0,1,1,0,0,1,4,4,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,2,2,2,0,0,1,0,1,1,1,1,4,4,4,2,3,5,6,no,0
242,1,0,0,1,16,0,1,0,1,0,1,4,3,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,5,4,5,1,1,3,0,no,0
186,1,0,0,1,16,0,1,1,0,0,1,1,2,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,3,3,3,1,2,3,2,yes,0
70,1,0,0,1,16,0,1,1,0,0,1,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,4,0,0,1,1,0,1,1,1,0,4,3,2,1,1,5,0,yes,0
159,1,0,0,1,16,0,1,1,0,0,1,3,3,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,2,1,0,1,1,0,1,1,1,1,4,5,5,4,4,5,4,yes,0
12,1,0,0,1,15,0,1,0,1,0,1,4,4,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,0,4,3,3,1,3,5,2,yes,0
35,1,0,1,0,15,0,1,1,0,0,1,2,3,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2,1,0,0,1,0,1,1,1,0,0,3,5,1,1,1,5,0,no,0
28,1,0,0,1,16,0,1,0,1,1,0,3,4,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,2,0,1,1,0,1,1,1,1,0,5,3,3,1,1,5,4,yes,0
170,1,0,0,1,16,0,1,1,0,0,1,3,4,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,3,1,2,0,1,0,1,0,1,1,0,3,4,5,2,4,2,0,no,0
142,1,0,1,0,15,0,1,1,0,0,1,4,4,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,3,0,0,1,1,1,1,1,1,0,4,2,2,1,1,5,2,yes,0
314,1,0,1,0,19,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,3,2,0,0,0,0,0,1,1,1,4,1,2,1,1,3,14,yes,0
268,1,0,0,1,18,0,1,1,0,0,1,4,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,2,0,0,1,1,1,1,1,1,1,5,4,5,1,3,5,10,yes,0
221,1,0,1,0,17,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,3,1,0,1,0,1,1,1,0,1,4,3,4,1,1,5,0,no,0
95,1,0,1,0,15,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,4,1,1,1,1,1,1,1,1,0,3,1,2,1,1,1,2,yes,0
51,1,0,1,0,15,0,1,0,1,0,1,4,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,2,0,0,1,1,0,1,1,1,0,4,3,3,1,1,5,2,yes,0
240,1,0,0,1,17,0,1,0,1,0,1,4,3,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,2,2,0,0,0,0,1,1,1,1,1,2,5,5,1,4,5,14,yes,0
294,1,0,0,1,18,1,0,0,1,0,1,3,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,2,3,0,0,1,1,1,1,1,1,0,5,4,2,1,1,4,8,yes,0
305,1,0,1,0,18,0,1,1,0,0,1,2,4,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,2,1,0,1,1,1,1,1,1,0,4,4,3,1,1,3,8,yes,0
178,1,0,0,1,16,1,0,1,0,0,1,4,2,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,4,3,3,3,4,3,10,no,0
41,1,0,0,1,15,0,1,0,1,0,1,4,4,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,5,4,3,2,4,5,8,yes,0
352,0,1,0,1,18,0,1,0,1,0,1,1,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,4,3,3,2,3,3,7,no,0
206,1,0,1,0,16,0,1,1,0,1,0,3,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,2,3,0,1,1,0,1,1,1,0,2,3,3,2,2,4,5,no,0
254,1,0,0,1,17,1,0,1,0,0,1,2,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,4,4,2,2,4,5,0,yes,0
327,1,0,0,1,17,1,0,1,0,0,1,2,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,4,1,0,0,1,0,0,1,1,1,0,4,4,5,5,5,4,8,yes,0
4,1,0,1,0,16,0,1,1,0,0,1,3,3,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,2,0,0,1,1,0,1,1,0,0,4,3,2,1,2,5,4,yes,0
256,1,0,1,0,17,0,1,0,1,0,1,4,2,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,4,0,0,1,1,1,1,1,1,0,4,2,3,1,1,4,6,yes,0
353,0,1,0,1,19,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,3,1,1,0,1,0,0,1,1,1,0,4,4,4,3,3,5,4,no,0
100,1,0,0,1,16,0,1,1,0,0,1,4,4,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,0,4,5,5,5,5,4,14,no,0
226,1,0,1,0,17,0,1,1,0,0,1,3,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,2,0,0,0,0,1,0,1,1,0,5,3,4,1,3,3,10,yes,0
337,1,0,1,0,17,0,1,1,0,0,1,3,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,2,0,0,1,1,0,1,1,1,1,4,3,2,2,3,2,0,no,0
213,1,0,0,1,18,0,1,1,0,0,1,2,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,2,1,0,1,1,1,1,1,1,0,4,4,4,2,4,5,15,no,0
171,1,0,0,1,16,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2,2,0,0,1,1,1,1,1,1,1,4,3,2,1,1,3,2,yes,0
98,1,0,1,0,16,0,1,1,0,0,1,4,4,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,5,3,4,1,2,1,6,yes,0
215,1,0,1,0,17,0,1,0,1,0,1,3,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2,2,0,0,0,1,0,1,1,1,0,4,4,4,1,3,1,2,yes,0
61,1,0,1,0,16,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,4,1,0,1,1,0,1,0,1,1,1,5,5,5,5,5,5,6,yes,0
47,1,0,0,1,16,0,1,1,0,0,1,4,3,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,4,0,0,0,0,1,1,1,1,0,4,2,2,1,1,2,4,yes,0
32,1,0,0,1,15,1,0,1,0,0,1,4,3,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,2,0,0,1,0,1,1,1,1,1,4,5,2,1,1,5,0,yes,0
267,1,0,1,0,18,1,0,1,0,0,1,4,4,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,2,2,0,0,0,1,1,1,1,1,0,4,3,4,2,2,4,8,yes,0
200,1,0,1,0,16,0,1,1,0,0,1,4,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,2,0,0,1,0,1,1,1,1,0,4,3,5,1,5,2,2,yes,0
351,0,1,0,1,17,0,1,1,0,0,1,3,3,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,2,2,0,0,1,1,0,1,1,1,0,4,5,4,2,3,3,2,yes,0
27,1,0,0,1,15,0,1,1,0,0,1,4,2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,1,1,0,2,2,4,2,4,1,4,yes,0
376,0,1,1,0,20,0,1,1,0,0,1,4,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2,3,2,0,1,1,0,0,1,1,1,5,4,3,1,1,3,4,yes,0
230,1,0,1,0,17,0,1,0,1,0,1,4,3,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,2,0,0,0,0,1,1,1,1,1,3,2,3,1,2,3,14,yes,0
260,1,0,1,0,18,0,1,1,0,0,1,4,3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,2,0,0,1,1,0,1,1,1,1,3,1,2,1,3,2,21,yes,0
288,1,0,0,1,18,0,1,1,0,0,1,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,3,0,0,0,1,1,1,1,1,0,4,2,4,1,3,2,6,yes,0
162,1,0,0,1,16,0,1,0,1,0,1,1,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,2,1,1,0,0,0,1,1,1,0,0,4,4,4,2,4,5,0,no,0
335,1,0,1,0,17,0,1,1,0,0,1,3,4,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,3,0,0,0,0,0,1,1,1,0,4,4,5,1,3,5,16,yes,0
138,1,0,0,1,16,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,2,1,0,0,0,0,1,1,0,1,4,4,4,1,3,5,0,yes,0
62,1,0,1,0,16,0,1,0,1,0,1,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,2,0,1,0,0,1,1,1,1,0,4,4,3,1,1,1,4,no,0
135,1,0,1,0,15,0,1,1,0,0,1,4,4,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,3,0,0,1,0,1,1,1,1,1,4,3,3,1,1,5,0,no,0
128,1,0,0,1,18,1,0,1,0,0,1,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,2,0,1,0,1,1,1,1,0,3,3,3,1,2,4,0,no,0
8,1,0,0,1,15,0,1,0,1,1,0,3,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,2,0,0,1,1,0,1,1,1,0,4,2,2,1,1,1,0,yes,0
64,1,0,1,0,15,0,1,0,1,0,1,4,3,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,2,0,1,0,0,1,1,1,1,1,4,4,4,2,4,2,0,yes,0
300,1,0,1,0,18,0,1,0,1,1,0,4,4,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,2,0,0,1,0,0,1,1,1,1,4,2,4,1,1,4,14,yes,0
14,1,0,0,1,15,0,1,1,0,1,0,2,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,3,0,0,1,0,0,1,1,1,1,4,5,2,1,1,3,0,yes,0
156,1,0,0,1,17,1,0,0,1,0,1,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,2,2,2,3,3,5,8,yes,0
40,1,0,1,0,16,0,1,0,1,0,1,2,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,2,1,0,1,0,1,0,1,1,1,3,3,3,1,2,3,25,yes,0
361,0,1,0,1,18,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,2,2,1,0,0,0,1,0,0,0,0,4,4,3,2,3,5,2,yes,0
354,0,1,0,1,17,1,0,1,0,0,1,4,3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,2,2,0,0,1,1,1,0,1,1,1,4,5,5,1,3,2,4,yes,0
216,1,0,1,0,17,0,1,1,0,0,1,4,3,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,2,2,0,0,1,0,1,1,1,1,3,4,5,2,4,1,22,no,0
279,1,0,0,1,18,0,1,0,1,0,1,4,3,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,2,1,0,0,0,1,1,1,1,1,0,4,2,3,1,2,1,8,yes,0
341,1,0,0,1,18,0,1,1,0,0,1,4,4,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,2,1,0,1,0,1,1,1,1,0,4,3,3,2,2,2,0,no,0
236,1,0,0,1,17,0,1,0,1,0,1,2,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,2,0,0,0,1,1,0,1,1,1,4,4,2,5,5,4,4,yes,0
207,1,0,1,0,16,0,1,1,0,0,1,4,3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,2,0,0,0,1,1,1,1,1,1,1,3,2,1,1,1,10,yes,0
212,1,0,1,0,16,0,1,1,0,1,0,2,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,2,0,1,1,1,0,1,1,1,0,3,3,4,1,1,4,0,yes,0
295,1,0,0,1,17,0,1,1,0,0,1,3,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,1,1,1,0,4,4,3,1,3,5,4,yes,0
380,0,1,0,1,18,0,1,1,0,0,1,4,4,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,2,0,0,0,1,1,0,1,1,0,3,2,4,1,4,2,4,yes,0
251,1,0,0,1,16,0,1,1,0,0,1,3,3,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,3,2,0,1,1,0,0,0,1,1,0,5,3,3,1,3,2,6,yes,0
385,0,1,1,0,18,1,0,1,0,0,1,2,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,2,3,0,0,0,1,0,1,1,0,0,5,3,3,1,3,4,2,yes,0
360,0,1,1,0,18,1,0,0,1,1,0,1,4,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,3,2,0,0,0,0,0,1,1,0,1,4,3,4,1,4,5,0,yes,0
303,1,0,1,0,17,0,1,1,0,0,1,3,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,4,0,0,1,1,1,0,1,1,0,5,2,2,1,2,5,0,yes,0
269,1,0,1,0,18,1,0,1,0,0,1,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2,2,0,0,1,0,0,1,0,1,1,4,3,5,1,2,3,0,no,0
201,1,0,1,0,16,0,1,1,0,0,1,2,3,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,2,0,1,1,1,1,1,1,0,0,4,4,3,1,3,4,6,yes,0
161,1,0,0,1,15,1,0,1,0,0,1,3,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,2,2,2,1,1,0,0,1,1,1,1,4,4,4,1,4,3,6,no,0
43,1,0,0,1,15,0,1,1,0,0,1,2,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,1,1,1,0,5,4,1,1,1,1,0,yes,0
217,1,0,0,1,18,0,1,0,1,0,1,3,3,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,2,1,0,1,1,0,1,1,1,0,3,2,4,2,4,4,13,no,0
190,1,0,1,0,16,0,1,1,0,0,1,2,3,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,2,0,0,0,0,0,1,1,1,0,4,3,3,1,1,2,10,yes,0
309,1,0,1,0,19,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,2,1,1,1,0,1,0,1,1,0,4,4,3,1,3,3,18,yes,0
259,1,0,1,0,17,0,1,0,1,0,1,2,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,4,0,0,0,1,1,1,1,1,1,3,4,1,1,1,2,0,no,0
105,1,0,1,0,15,0,1,1,0,1,0,3,3,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,4,0,1,0,0,0,1,1,0,0,4,3,3,1,1,4,10,yes,0
53,1,0,1,0,15,0,1,1,0,0,1,4,4,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,1,1,1,0,3,3,4,2,3,5,0,yes,0
1,1,0,1,0,17,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,2,0,0,1,0,0,0,1,1,0,5,3,3,1,1,3,4,no,0
49,1,0,1,0,15,0,1,1,0,0,1,4,4,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,2,1,1,1,0,1,0,1,1,0,4,4,4,1,1,3,2,no,0
80,1,0,0,1,15,0,1,1,0,0,1,2,3,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,1,1,0,1,1,1,3,2,2,1,3,3,2,yes,0
205,1,0,1,0,17,0,1,1,0,0,1,3,4,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,3,1,0,1,1,0,1,1,1,1,4,4,3,3,4,5,28,no,0
34,1,0,0,1,16,0,1,1,0,0,1,3,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,5,4,3,1,1,5,0,yes,0
263,1,0,1,0,17,0,1,1,0,0,1,3,3,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,3,0,0,0,0,1,0,1,0,0,3,2,3,1,1,4,4,no,0
91,1,0,1,0,15,0,1,1,0,0,1,4,3,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,1,1,0,4,5,5,1,3,1,4,yes,0
339,1,0,1,0,17,1,0,1,0,1,0,3,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,2,0,0,1,1,0,1,1,1,0,4,3,3,2,3,2,4,yes,0
52,1,0,0,1,15,0,1,0,1,1,0,4,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2,1,1,0,0,0,0,1,1,0,0,5,5,5,3,4,5,6,yes,0
264,1,0,1,0,18,0,1,1,0,0,1,2,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,3,0,0,1,1,1,1,1,1,1,4,3,3,1,1,3,0,no,0
241,1,0,0,1,17,1,0,0,1,1,0,4,4,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,2,2,0,0,1,1,0,1,1,1,0,3,3,3,2,3,4,2,yes,0
13,1,0,0,1,15,0,1,1,0,0,1,4,3,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,2,2,0,0,1,1,0,1,1,1,0,5,4,3,1,2,3,2,yes,0
315,1,0,1,0,19,1,0,1,0,0,1,2,3,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,3,1,0,0,0,0,1,1,1,1,4,1,2,1,1,3,40,yes,0
88,1,0,0,1,16,0,1,1,0,0,1,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,2,2,1,0,0,1,1,0,1,1,0,4,4,2,1,1,3,12,yes,0
273,1,0,0,1,17,1,0,1,0,0,1,1,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,2,0,0,1,1,1,0,1,0,1,3,5,2,2,2,1,2,yes,0
166,1,0,0,1,16,0,1,1,0,0,1,2,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,2,0,0,0,0,0,1,0,1,0,4,3,5,2,4,4,4,yes,0
328,1,0,1,0,17,0,1,1,0,0,1,4,4,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,3,0,0,1,1,1,1,1,1,0,5,4,4,1,3,4,7,no,0
388,0,1,1,0,18,0,1,0,1,0,1,3,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,2,0,0,1,1,0,1,1,1,0,4,3,4,1,1,1,0,no,0
134,1,0,0,1,15,1,0,1,0,0,1,3,4,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,4,2,0,0,1,0,0,1,1,0,1,5,3,3,1,1,5,0,no,0
306,1,0,0,1,20,0,1,1,0,1,0,3,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,5,5,3,1,1,5,0,yes,0
378,0,1,1,0,18,0,1,1,0,0,1,3,3,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,2,0,0,0,1,0,1,1,1,1,4,1,3,1,2,1,0,yes,0
319,1,0,1,0,18,0,1,1,0,0,1,4,4,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,2,0,0,1,1,0,1,1,1,0,4,4,4,3,3,5,2,yes,0
243,1,0,0,1,16,0,1,1,0,0,1,4,4,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,5,3,2,1,2,5,0,yes,0
54,1,0,1,0,15,0,1,0,1,1,0,3,3,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,1,1,0,5,3,4,4,4,1,6,yes,0
50,1,0,1,0,16,0,1,0,1,0,1,2,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,3,2,0,0,1,1,0,1,1,1,0,4,3,3,2,3,4,2,yes,0
174,1,0,1,0,16,0,1,0,1,0,1,3,3,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2,2,0,0,1,1,1,1,1,1,0,4,4,5,1,1,4,4,no,0
189,1,0,0,1,17,1,0,1,0,0,1,1,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,2,0,0,0,0,0,1,1,0,0,3,1,3,1,5,3,4,yes,0
392,0,1,0,1,21,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,3,0,0,0,0,0,1,0,0,5,5,3,3,3,3,3,no,0
187,1,0,0,1,16,0,1,0,1,0,1,2,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,2,0,0,0,1,1,1,1,1,1,4,2,3,1,2,5,0,yes,0
169,1,0,1,0,16,0,1,1,0,0,1,4,4,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,2,0,0,1,1,0,1,1,1,1,4,4,2,1,1,3,0,yes,0
